Date,<TIME>,Open,High,Low,Close,<TICKVOL>,<VOL>,<SPREAD>
2022.10.20,12:00:00,30367.7,30645.7,30365.7,30405.2,37946,0,0
2022.10.20,16:00:00,30403.7,30827.7,30400.7,30484.7,67765,0,0
2022.10.20,20:00:00,30484.2,30485.7,30258.7,30375.6,50922,0,0
2022.10.21,00:00:00,30366.1,30371.7,30224.4,30296.2,11746,0,0
2022.10.21,04:00:00,30301.2,30368.3,30259.2,30295.3,19623,0,0
2022.10.21,08:00:00,30293.3,30381.0,30175.6,30188.1,30605,0,0
2022.10.21,12:00:00,30189.6,30252.6,30068.0,30170.5,35554,0,0
2022.10.21,16:00:00,30170.0,30923.3,30166.5,30887.8,88637,0,0
2022.10.21,20:00:00,30888.8,31158.6,30832.3,31156.6,40620,0,0
2022.10.24,00:00:00,31213.8,31424.7,31183.7,31202.2,22798,0,0
2022.10.24,04:00:00,31202.7,31227.7,31062.7,31183.7,29688,0,0
2022.10.24,08:00:00,31182.2,31199.5,30882.5,30973.5,41534,0,0
2022.10.24,12:00:00,30973.0,31405.5,30919.0,31340.5,41856,0,0
2022.10.24,16:00:00,31342.0,31571.7,31157.7,31419.7,75840,0,0
2022.10.24,20:00:00,31420.2,31600.2,31353.2,31475.6,42295,0,0
2022.10.25,00:00:00,31474.3,31565.8,31466.2,31527.2,12684,0,0
2022.10.25,04:00:00,31526.2,31549.3,31404.2,31522.5,30819,0,0
2022.10.25,08:00:00,31523.0,31563.1,31429.1,31440.1,33074,0,0
2022.10.25,12:00:00,31440.6,31440.6,31308.6,31374.6,28029,0,0
2022.10.25,16:00:00,31372.1,31809.8,31372.1,31723.8,56683,0,0
2022.10.25,20:00:00,31722.8,31878.7,31681.8,31836.1,41867,0,0
2022.10.26,00:00:00,31762.2,31822.3,31710.9,31726.9,14815,0,0
2022.10.26,04:00:00,31726.4,31798.9,31708.9,31763.1,21501,0,0
2022.10.26,08:00:00,31762.1,31874.2,31728.8,31865.7,31795,0,0
2022.10.26,12:00:00,31865.2,31873.7,31719.1,31754.1,33883,0,0
2022.10.26,16:00:00,31753.6,32174.8,31730.2,31968.3,57929,0,0
2022.10.26,20:00:00,31967.8,32002.3,31775.8,31955.1,48337,0,0
2022.10.27,00:00:00,31920.6,32033.7,31892.7,31978.7,11990,0,0
2022.10.27,04:00:00,31979.2,32031.7,31937.7,32024.2,20080,0,0
2022.10.27,08:00:00,32024.7,32051.7,31914.2,31982.7,29620,0,0
2022.10.27,12:00:00,31983.2,32202.2,31911.7,32168.7,33941,0,0
2022.10.27,16:00:00,32167.7,32383.3,32063.3,32185.3,68055,0,0
2022.10.27,20:00:00,32184.8,32277.3,31839.6,32008.6,50808,0,0
2022.10.28,00:00:00,32003.6,32055.2,31959.2,32016.2,15629,0,0
2022.10.28,04:00:00,32016.7,32129.7,32016.7,32033.2,24014,0,0
2022.10.28,08:00:00,32033.7,32034.2,31850.2,31961.7,32569,0,0
2022.10.28,12:00:00,31963.7,32256.7,31917.7,32081.2,33233,0,0
2022.10.28,16:00:00,32081.7,32760.8,32062.7,32740.3,56201,0,0
2022.10.28,20:00:00,32740.8,32971.1,32736.3,32961.1,32083,0,0
2022.10.31,00:00:00,32870.6,32880.2,32796.7,32811.7,13406,0,0
2022.10.31,04:00:00,32812.2,32872.2,32791.7,32841.7,20994,0,0
2022.10.31,08:00:00,32841.2,32873.7,32685.2,32715.7,22781,0,0
2022.10.31,12:00:00,32715.2,32805.2,32676.2,32695.7,22014,0,0
2022.10.31,16:00:00,32695.2,32886.8,32588.8,32732.8,54898,0,0
2022.10.31,20:00:00,32734.3,32839.3,32684.3,32740.1,39903,0,0
2022.11.01,00:00:00,32738.6,32810.2,32726.7,32792.7,10349,0,0
2022.11.01,04:00:00,32792.2,32885.2,32788.7,32849.7,18878,0,0
2022.11.01,08:00:00,32847.7,32963.7,32836.7,32922.7,25598,0,0
2022.11.01,12:00:00,32923.2,32998.7,32893.2,32971.7,24461,0,0
2022.11.01,16:00:00,32970.7,32984.8,32480.8,32625.3,61392,0,0
2022.11.01,20:00:00,32624.3,32730.3,32581.6,32622.6,38161,0,0
2022.11.02,00:00:00,32631.1,32700.7,32614.7,32689.2,10706,0,0
2022.11.02,04:00:00,32689.7,32730.7,32659.7,32720.7,18603,0,0
2022.11.02,08:00:00,32721.2,32747.2,32644.7,32716.7,20370,0,0
2022.11.02,12:00:00,32716.2,32732.7,32534.7,32577.7,24921,0,0
2022.11.02,16:00:00,32578.2,32641.3,32492.8,32586.8,44766,0,0
2022.11.02,20:00:00,32587.3,33074.8,32091.8,32155.1,60382,0,0
2022.11.03,00:00:00,32165.1,32175.7,32052.2,32119.7,13002,0,0
2022.11.03,04:00:00,32119.2,32230.2,32111.2,32199.7,18838,0,0
2022.11.03,08:00:00,32200.2,32243.2,32079.7,32126.2,27175,0,0
2022.11.03,12:00:00,32125.7,32160.7,31881.7,31886.7,32122,0,0
2022.11.03,16:00:00,31887.2,32173.3,31709.8,32135.3,62433,0,0
2022.11.03,20:00:00,32133.8,32169.8,31965.3,31989.1,38661,0,0
2022.11.04,00:00:00,31973.1,31984.7,31910.2,31956.7,10972,0,0
