Date,<TIME>,Open,High,Low,Close,<TICKVOL>,<VOL>,<SPREAD>
2019.12.23,02:00:00,1478.5,1479.26,1478.38,1479.06,3319,0,0
2019.12.23,03:00:00,1479.07,1479.7,1478.88,1479.63,3462,0,0
2019.12.23,04:00:00,1479.63,1479.97,1479.2,1479.96,2628,0,0
2019.12.23,05:00:00,1479.96,1481.43,1479.89,1480.79,3132,0,0
2019.12.23,06:00:00,1480.78,1481.56,1480.68,1480.76,2112,0,0
2019.12.23,07:00:00,1480.76,1481.67,1480.44,1481.12,2947,0,0
2019.12.23,08:00:00,1481.13,1483.81,1480.98,1483.41,4989,0,0
2019.12.23,09:00:00,1483.43,1485.05,1483.37,1483.53,6045,0,0
2019.12.23,10:00:00,1483.53,1485.11,1482.25,1484.11,6493,0,0
2019.12.23,11:00:00,1484.1,1485.17,1483.74,1484.94,3946,0,0
2019.12.23,12:00:00,1484.94,1485.23,1484.11,1484.44,3436,0,0
2019.12.23,13:00:00,1484.45,1484.58,1482.9,1483.43,3911,0,0
2019.12.23,14:00:00,1483.44,1483.92,1481.64,1482.07,4989,0,0
2019.12.23,15:00:00,1482.09,1483.97,1480.51,1483.25,8861,0,0
2019.12.23,16:00:00,1483.24,1483.42,1481.78,1482.88,8720,0,0
2019.12.23,17:00:00,1482.87,1484.82,1482.17,1483.65,8532,0,0
2019.12.23,18:00:00,1483.66,1483.73,1482.25,1482.97,5509,0,0
2019.12.23,19:00:00,1482.97,1484.67,1482.95,1483.91,4176,0,0
2019.12.23,20:00:00,1483.9,1485.91,1483.88,1484.62,5769,0,0
2019.12.23,21:00:00,1484.67,1485.71,1484.5,1485.58,2919,0,0
2019.12.23,22:00:00,1485.6,1486.09,1485.14,1485.72,3063,0,0
2019.12.23,23:00:00,1485.7,1485.89,1484.99,1485.35,1936,0,0
2019.12.24,01:00:00,1485.38,1485.94,1485.15,1485.42,1651,0,0
2019.12.24,02:00:00,1485.43,1485.82,1484.86,1484.95,1687,0,0
2019.12.24,03:00:00,1484.92,1487.52,1484.35,1487.52,4792,0,0
2019.12.24,04:00:00,1487.52,1489.57,1487.19,1489.53,5074,0,0
2019.12.24,05:00:00,1489.53,1489.53,1488.66,1488.79,2855,0,0
2019.12.24,06:00:00,1488.8,1489.07,1488.42,1488.79,1705,0,0
2019.12.24,07:00:00,1488.8,1490.81,1488.77,1490.22,4130,0,0
2019.12.24,08:00:00,1490.21,1491.3,1489.66,1489.81,4933,0,0
2019.12.24,09:00:00,1489.82,1490.75,1489.36,1489.93,3694,0,0
2019.12.24,10:00:00,1489.91,1491.92,1489.76,1491.01,3806,0,0
2019.12.24,11:00:00,1491.02,1492.92,1490.59,1490.95,4719,0,0
2019.12.24,12:00:00,1490.94,1492.43,1490.21,1490.27,4933,0,0
2019.12.24,13:00:00,1490.47,1490.99,1489.36,1490.11,3736,0,0
2019.12.24,14:00:00,1490.15,1491.1,1489.35,1489.72,3013,0,0
2019.12.24,15:00:00,1489.72,1490.73,1488.76,1490.17,5261,0,0
2019.12.24,16:00:00,1490.18,1494.13,1490.08,1492.81,6330,0,0
2019.12.24,17:00:00,1492.81,1499.36,1492.54,1498.6,10960,0,0
2019.12.24,18:00:00,1498.6,1499.83,1498.09,1498.84,6500,0,0
2019.12.24,19:00:00,1498.85,1500.46,1498.39,1499.5,4251,0,0
2019.12.24,20:00:00,1499.5,1499.82,1498.44,1498.67,2354,0,0
2019.12.26,01:00:00,1499.14,1500.27,1497.34,1499.42,3208,0,0
2019.12.26,02:00:00,1499.54,1499.72,1497.77,1498.18,2829,0,0
2019.12.26,03:00:00,1498.15,1501.29,1497.93,1501.26,5612,0,0
2019.12.26,04:00:00,1501.29,1503.82,1501.19,1503.26,8035,0,0
2019.12.26,05:00:00,1503.25,1503.98,1503.04,1503.26,3773,0,0
2019.12.26,06:00:00,1503.27,1503.36,1502.31,1502.89,2401,0,0
2019.12.26,07:00:00,1502.91,1505.51,1502.73,1504.46,4367,0,0
2019.12.26,08:00:00,1504.47,1504.67,1502.67,1502.86,4924,0,0
2019.12.26,09:00:00,1502.86,1504.07,1502.76,1502.83,3608,0,0
2019.12.26,10:00:00,1502.84,1504.77,1502.71,1504.22,2432,0,0
2019.12.26,11:00:00,1504.19,1504.54,1503.46,1504.1,2956,0,0
2019.12.26,12:00:00,1504.1,1505.02,1503.41,1504.41,4001,0,0
2019.12.26,13:00:00,1504.42,1505.0,1503.93,1504.79,1865,0,0
2019.12.26,14:00:00,1504.88,1507.36,1504.59,1505.46,7148,0,0
2019.12.26,15:00:00,1505.46,1508.28,1504.34,1507.82,9013,0,0
2019.12.26,16:00:00,1507.82,1509.99,1506.89,1509.91,11376,0,0
2019.12.26,17:00:00,1509.92,1512.55,1509.47,1512.08,10697,0,0
2019.12.26,18:00:00,1512.08,1512.12,1506.59,1508.03,11843,0,0
2019.12.26,19:00:00,1508.03,1510.21,1507.96,1508.57,7831,0,0
2019.12.26,20:00:00,1508.56,1512.36,1508.29,1511.99,6726,0,0
2019.12.26,21:00:00,1512.0,1512.23,1509.46,1509.78,5542,0,0
2019.12.26,22:00:00,1509.82,1511.92,1509.69,1511.79,5116,0,0
2019.12.26,23:00:00,1511.77,1511.89,1510.75,1510.96,2215,0,0
2019.12.27,01:00:00,1510.93,1511.63,1510.37,1511.15,4083,0,0
2019.12.27,02:00:00,1511.15,1511.23,1509.5,1510.03,5209,0,0
2019.12.27,03:00:00,1510.03,1510.98,1509.17,1510.44,5221,0,0
2019.12.27,04:00:00,1510.38,1513.78,1510.27,1513.48,5948,0,0
2019.12.27,05:00:00,1513.48,1514.07,1512.56,1512.94,4149,0,0
2019.12.27,06:00:00,1512.91,1513.23,1512.51,1512.89,2976,0,0
2019.12.27,07:00:00,1512.9,1513.43,1509.64,1510.41,5793,0,0
2019.12.27,08:00:00,1510.41,1510.71,1507.8,1508.73,6892,0,0
2019.12.27,09:00:00,1508.73,1509.57,1507.31,1508.51,6272,0,0
2019.12.27,10:00:00,1508.51,1510.02,1507.94,1509.76,7919,0,0
2019.12.27,11:00:00,1509.76,1511.9,1509.21,1511.84,5849,0,0
2019.12.27,12:00:00,1511.82,1512.43,1510.43,1511.53,4425,0,0
2019.12.27,13:00:00,1511.54,1511.64,1508.68,1509.99,4519,0,0
2019.12.27,14:00:00,1510.01,1511.81,1509.58,1511.17,5245,0,0
